City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Genhe,50.7833,121.5167,-14.58,82,68,2.77,CN,2021-01-14 02:46:40
68,Vao,-22.6667,167.4833,76.3,88,100,16.62,NC,2021-01-14 02:46:41
69,Port Lincoln,-34.7333,135.8667,65.07,53,26,14.61,AU,2021-01-14 02:46:41
70,La Ronge,55.1001,-105.2842,28.4,93,100,10.36,CA,2021-01-14 02:46:41
71,Mocuba,-16.8392,36.9856,74.48,95,100,3.29,MZ,2021-01-14 02:46:41
72,Kolyvan,55.3053,82.7391,-11.2,77,90,6.71,RU,2021-01-14 02:46:41
73,Rawlins,41.7911,-107.2387,37.4,65,40,35.68,US,2021-01-14 02:46:41
74,Monrovia,6.3005,-10.7969,78.08,83,44,2.95,LR,2021-01-14 02:45:51
75,Lorengau,-2.0226,147.2712,86.0,65,94,9.28,PG,2021-01-14 02:46:41
76,Pevek,69.7008,170.3133,-17.48,89,100,1.83,RU,2021-01-14 02:46:41
77,Saint-Philippe,-21.3585,55.7679,80.6,83,90,2.3,RE,2021-01-14 02:46:41
78,Merauke,-8.4667,140.3333,86.31,71,97,9.8,ID,2021-01-14 02:46:41
79,Mustasaari,63.1142,21.6822,10.99,78,75,4.61,FI,2021-01-14 02:46:41
80,Mangai,-4.05,19.5333,69.64,98,100,3.74,CD,2021-01-14 02:46:41
81,Springbok,-29.6643,17.8865,72.05,48,0,1.77,ZA,2021-01-14 02:46:41
82,Shagonar,51.5333,92.8,1.22,84,95,0.83,RU,2021-01-14 02:46:41
83,Saint George,37.1041,-113.5841,48.0,21,1,0.09,US,2021-01-14 02:44:07
84,Cochabamba,-17.3895,-66.1568,60.8,82,75,1.41,BO,2021-01-14 02:46:42
85,Cape Town,-33.9258,18.4232,71.01,78,0,11.5,ZA,2021-01-14 02:44:39
86,Belmopan,17.25,-88.7667,71.01,71,30,2.35,BZ,2021-01-14 02:46:42
87,Barrow,71.2906,-156.7887,-9.4,77,1,17.27,US,2021-01-14 02:46:42
88,Yellowknife,62.456,-114.3525,12.2,92,75,9.22,CA,2021-01-14 02:46:42
89,Mackenzie,55.2999,-123.1698,26.6,74,20,4.61,CA,2021-01-14 02:45:05
90,Ponta Delgada,37.7333,-25.6667,61.0,94,75,12.66,PT,2021-01-14 02:46:42
