City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Chuy,UY,2021-01-10 13:26:09,-33.6971,-53.4616,78.78,72,50,9.48
67,Saskylakh,RU,2021-01-10 13:26:09,71.9167,114.0833,-24.41,83,96,7.92
68,Baddomalhi,PK,2021-01-10 13:26:09,31.9928,74.6683,51.8,82,40,4.88
69,Bahia Blanca,AR,2021-01-10 13:25:19,-38.7196,-62.2724,79.66,17,3,7.14
70,Hobart,AU,2021-01-10 13:24:17,-42.8794,147.3294,62.6,77,90,2.55
71,Aden,YE,2021-01-10 13:26:10,12.7794,45.0367,76.8,69,4,18.01
72,Victoria,HK,2021-01-10 13:21:10,22.2855,114.1577,55.99,37,100,8.12
73,Tilichiki,RU,2021-01-10 13:26:10,60.4667,166.1,-8.86,92,100,13.13
74,Thompson,CA,2021-01-10 13:26:10,55.7435,-97.8558,6.8,85,20,4.61
75,Gerzat,FR,2021-01-10 13:26:10,45.8243,3.144,30.2,69,90,11.5
76,Cape Town,ZA,2021-01-10 13:22:25,-33.9258,18.4232,73.99,49,20,27.63
77,New Norfolk,AU,2021-01-10 13:26:10,-42.7826,147.0587,62.01,74,98,0.38
78,Na Wa,TH,2021-01-10 13:26:10,17.4897,104.1006,66.2,55,0,12.66
79,Botou,CN,2021-01-10 13:26:10,38.0667,116.5667,25.93,69,100,5.41
80,Hovin,NO,2021-01-10 13:26:10,63.1055,10.225,30.0,90,47,6.53
81,Bambanglipuro,ID,2021-01-10 13:26:10,-7.95,110.2833,77.94,85,100,3.78
82,Bredasdorp,ZA,2021-01-10 13:26:10,-34.5322,20.0403,71.6,46,93,9.22
83,Laguna,US,2021-01-10 13:26:10,38.421,-121.4238,39.99,87,1,3.44
84,Angoram,PG,2021-01-10 13:26:10,-4.0625,144.0661,75.78,95,100,1.41
85,Bousso,TD,2021-01-10 13:26:10,10.4795,16.7117,98.62,9,28,6.2
86,Kem,RU,2021-01-10 13:26:11,64.9555,34.5793,-7.98,91,54,4.76
87,Iqaluit,CA,2021-01-10 13:26:11,63.7506,-68.5145,8.6,85,75,3.44
88,Vlasikha,RU,2021-01-10 13:26:11,53.2972,83.5742,12.2,73,75,20.13
89,Bonavista,CA,2021-01-10 13:26:11,48.6499,-53.1147,30.99,100,100,3.44
90,Terrace,CA,2021-01-10 13:26:11,54.5163,-128.6035,32.0,100,90,8.05
91,Avera,US,2021-01-10 13:26:11,33.194,-82.5271,30.2,92,1,5.75
92,Colares,PT,2021-01-10 13:26:11,38.7992,-9.4469,50.0,53,20,10.36
93,Puerto Ayora,EC,2021-01-10 13:23:46,-0.7393,-90.3518,73.99,92,17,4.0
94,Nuevitas,CU,2021-01-10 13:26:11,21.5453,-77.2644,66.2,82,40,8.05
95,Ancud,CL,2021-01-10 13:26:11,-41.8697,-73.8203,53.01,71,75,8.05
96,Butaritari,KI,2021-01-10 13:26:11,3.0707,172.7902,80.98,82,77,16.37
97,North Bend,US,2021-01-10 13:26:11,43.4065,-124.2243,48.99,100,90,3.44
98,Buguruslan,RU,2021-01-10 13:26:11,53.6554,52.442,28.09,98,100,15.43
99,Bay Roberts,CA,2021-01-10 13:26:11,47.5999,-53.2648,32.0,100,90,16.11
100,Nouadhibou,MR,2021-01-10 13:26:11,20.931,-17.0347,69.8,37,0,31.07
101,Horki,BY,2021-01-10 13:26:11,54.2861,30.9842,21.2,79,40,6.71
102,Hilo,US,2021-01-10 13:26:11,19.7297,-155.09,66.2,68,40,6.91
103,Terny,UA,2021-01-10 13:26:12,50.9833,33.9833,29.26,93,91,10.74
104,Tautira,PF,2021-01-10 13:26:12,-17.7333,-149.15,77.0,78,75,6.91
105,Bengkulu,ID,2021-01-10 13:26:12,-3.8004,102.2655,79.27,80,100,2.73
106,Shimanovsk,RU,2021-01-10 13:26:12,52.0,127.7,-10.98,85,5,7.36
107,Lasa,IT,2021-01-10 13:26:12,46.6166,10.7002,33.8,42,0,8.05
108,Saint-Leu,RE,2021-01-10 13:26:12,-21.15,55.2833,84.2,74,20,18.41
109,Malchin,DE,2021-01-10 13:26:12,53.7333,12.7833,35.01,80,75,8.05
110,Ilulissat,GL,2021-01-10 13:26:12,69.2167,-51.1,15.8,53,75,3.44
111,Ostrovnoy,RU,2021-01-10 13:26:12,68.0531,39.5131,3.45,91,2,12.41
112,Lebu,CL,2021-01-10 13:26:12,-37.6167,-73.65,56.57,92,55,12.44
113,Narsaq,GL,2021-01-10 13:26:12,60.9167,-46.05,42.8,36,75,19.57
114,Jalu,LY,2021-01-10 13:26:12,29.0331,21.5482,82.96,22,0,9.78
115,San Luis,AR,2021-01-10 13:26:12,-33.295,-66.3356,79.84,53,0,13.47
116,Richards Bay,ZA,2021-01-10 13:26:12,-28.783,32.0377,78.44,81,100,14.41
117,Margate,GB,2021-01-10 13:26:12,51.3813,1.3862,37.99,89,0,10.0
118,Tandalti,SD,2021-01-10 13:26:12,13.0167,31.8667,91.06,16,0,7.85
119,Tasiilaq,GL,2021-01-10 13:26:12,65.6145,-37.6368,21.2,53,90,2.3
